tweetId,ordinal,type,path,video_path
2056742394112929947,0,photo,2056742394112929947/0.jpg,
2024103395024392545,0,video,2024103395024392545/0.jpg,
2025667098714739006,0,photo,2025667098714739006/0.jpg,
2025667098714739006,1,photo,2025667098714739006/1.jpg,
2036892542676144131,0,video,2036892542676144131/0.jpg,2036892542676144131/0.mp4
2044939011676840342,0,photo,2044939011676840342/0.jpg,
2039759163870343353,0,video,2039759163870343353/0.jpg,2039759163870343353/0.mp4
2066745792182763663,0,photo,2066745792182763663/0.jpg,
2032907379109474805,0,photo,2032907379109474805/0.jpg,
2066289643717546452,0,photo,2066289643717546452/0.jpg,
2036905319779942584,0,video,2036905319779942584/0.jpg,2036905319779942584/0.mp4
2032022382068535386,0,video,2032022382068535386/0.jpg,2032022382068535386/0.mp4
2015202988923711951,0,video,2015202988923711951/0.jpg,2015202988923711951/0.mp4
2012202324991635495,0,video,2012202324991635495/0.jpg,2012202324991635495/0.mp4
2043724976360968317,0,video,2043724976360968317/0.jpg,2043724976360968317/0.mp4
2049757717212909864,0,video,2049757717212909864/0.jpg,2049757717212909864/0.mp4
2016298215297974640,0,video,2016298215297974640/0.jpg,2016298215297974640/0.mp4
2039586937590149419,0,video,2039586937590149419/0.jpg,2039586937590149419/0.mp4
2049472760842441162,0,photo,2049472760842441162/0.jpg,
2049472760842441162,1,photo,2049472760842441162/1.jpg,
2014544874226307121,0,video,2014544874226307121/0.jpg,2014544874226307121/0.mp4
2013888094349434888,0,video,2013888094349434888/0.jpg,2013888094349434888/0.mp4
2028957362741272931,0,video,2028957362741272931/0.jpg,2028957362741272931/0.mp4
2016288383350325373,0,photo,2016288383350325373/0.jpg,
2044471454972961117,0,photo,2044471454972961117/0.jpg,
2022347961032913384,0,video,2022347961032913384/0.jpg,2022347961032913384/0.mp4
2017639636378812591,0,video,2017639636378812591/0.jpg,2017639636378812591/0.mp4
2022107827532443811,0,video,2022107827532443811/0.jpg,2022107827532443811/0.mp4
2052901365349769365,0,video,2052901365349769365/0.jpg,2052901365349769365/0.mp4
2025614961959997868,0,video,2025614961959997868/0.jpg,2025614961959997868/0.mp4
2014785971804410061,0,photo,2014785971804410061/0.jpg,
2014785971804410061,1,photo,2014785971804410061/1.jpg,
2014785971804410061,2,photo,2014785971804410061/2.jpg,
2035008470668472461,0,photo,2035008470668472461/0.jpg,
2058866463109427266,0,video,2058866463109427266/0.jpg,2058866463109427266/0.mp4
2053207384709849239,0,photo,2053207384709849239/0.jpg,
2040935013126918193,0,video,2040935013126918193/0.jpg,2040935013126918193/0.mp4
2044464555326378467,0,video,2044464555326378467/0.jpg,2044464555326378467/0.mp4
2037611108274438264,0,video,2037611108274438264/0.jpg,2037611108274438264/0.mp4
2067652478103855158,0,photo,2067652478103855158/0.jpg,
2051326933342769454,0,photo,2051326933342769454/0.jpg,
2041118698639945809,0,photo,2041118698639945809/0.jpg,
2045913560014885342,0,video,2045913560014885342/0.jpg,2045913560014885342/0.mp4
2011986754627387863,0,photo,2011986754627387863/0.jpg,
2056848180910891440,0,photo,2056848180910891440/0.jpg,
2052548863492272396,0,video,2052548863492272396/0.jpg,2052548863492272396/0.mp4
2052135182979977694,0,photo,2052135182979977694/0.jpg,
2038685980300108067,0,photo,2038685980300108067/0.png,
2034400685371081055,0,photo,2034400685371081055/0.jpg,
2018962731425239041,0,photo,2018962731425239041/0.jpg,
2018962731425239041,1,photo,2018962731425239041/1.jpg,
2058187125112156204,0,video,2058187125112156204/0.jpg,2058187125112156204/0.mp4
2023767447590064459,0,video,2023767447590064459/0.jpg,2023767447590064459/0.mp4
2019817692161798164,0,video,2019817692161798164/0.jpg,2019817692161798164/0.mp4
2066229248239562974,0,video,2066229248239562974/0.jpg,2066229248239562974/0.mp4
2016511641827914005,0,video,2016511641827914005/0.jpg,2016511641827914005/0.mp4
2038073710993674647,0,photo,2038073710993674647/0.jpg,
2011478828896370911,0,video,2011478828896370911/0.jpg,2011478828896370911/0.mp4
2066223100258087186,0,photo,2066223100258087186/0.jpg,
2030205240713122081,0,video,2030205240713122081/0.jpg,2030205240713122081/0.mp4
2044137131132469622,0,photo,2044137131132469622/0.jpg,
2046272688042147890,0,video,2046272688042147890/0.jpg,2046272688042147890/0.mp4
2035355458945573186,0,photo,2035355458945573186/0.jpg,
2012042341612396897,0,video,2012042341612396897/0.jpg,2012042341612396897/0.mp4
2055452255545933938,0,video,2055452255545933938/0.jpg,2055452255545933938/0.mp4
2064809064148644131,0,video,2064809064148644131/0.jpg,2064809064148644131/0.mp4
2061759253489099129,0,photo,2061759253489099129/0.jpg,
2017903979405910149,0,photo,2017903979405910149/0.jpg,
2059106745373352239,0,photo,2059106745373352239/0.jpg,
2032575368977101031,0,video,2032575368977101031/0.jpg,2032575368977101031/0.mp4
2043684847370047538,0,video,2043684847370047538/0.jpg,2043684847370047538/0.mp4
2025921668103766343,0,animated_gif,2025921668103766343/0.jpg,2025921668103766343/0.mp4
2023859016485781841,0,video,2023859016485781841/0.jpg,2023859016485781841/0.mp4
2068856809851338866,0,video,2068856809851338866/0.jpg,2068856809851338866/0.mp4
2064450977009213826,0,video,2064450977009213826/0.jpg,2064450977009213826/0.mp4
